year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
1999,0,1.3,8.1,27.5,62.1,120.8,190.3,259.9,322,373.6,423.9,469.5,494.1,467.9,410
2000,0,1.3,8.3,26.8,61.6,118.8,190.8,251.8,323.1,376.2,423.7,451.3,472.5,453.9,394.8
2001,0.2,1.3,8.4,28.5,62.2,119,186,248.3,325.9,373.1,420.5,449.5,472.7,451.5,393.5
2002,0.2,1.4,8.6,26.7,59.9,117.6,182.1,241.6,313.6,373,413.8,438.2,459.4,441.5,382.1
2003,0.2,1.4,8.8,27.2,61.9,118.6,183.9,227.8,290.2,340.7,377.5,402.5,431.3,414.4,359.1
2004,0.2,1.3,8.5,27.7,62.5,119.2,184.1,223.2,276.7,335,376.2,398.5,422.6,417.6,361
2005,0,1.4,8.3,27.9,61.2,119,182.5,219.5,270.3,333.8,381.8,397.1,428.5,425.2,366.6
2006,0.2,1.5,8.4,26.9,61.3,122.5,184.7,219.8,270.3,335.9,391.8,403.8,428.9,417.2,359.3
2007,0.2,1.6,8.9,26.7,61,123.1,185.5,220.1,271,342.9,407.8,416.2,427.5,427.1,361.5
2008,0.1,1.5,8.4,27.8,62.8,122.9,188.7,224,266.2,343.5,411.8,421.7,436.1,428.2,366.1
2009,0.2,1.6,8.9,27.3,62,124.9,189,223.7,267.6,344,417.8,436.6,439.2,431.8,367.2
2010,0.2,1.5,9.2,26.6,59.8,119.5,181.9,213,255.8,334.6,405.8,429.8,437.2,410.4,350.8
2011,0,1.6,8.9,27.2,60.6,120.7,188.4,217.6,259.7,334,422.1,440.7,448.2,415.7,344.5
2012,0.2,1.5,9.3,27.7,60.5,122.1,185.7,220.8,256.4,329.6,420.6,443.1,445.9,410.8,338.1
2013,0,1.6,9.6,27.6,62,121.6,187.4,221.9,260.3,329.5,422.5,449.9,450.9,405.3,325.9
